3306
  LowerBound                Cureent Value           UpperBound
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
   0.001                      0.5                     1
